run_at_pacific,post_id,account,series,ref,media_id,status,detail
2026-09-24T02:53:52.476935-07:00,r2-day-025,ig:growthwealth,Round 2,Day 025,17980702611065440,ok,
2026-09-24T02:53:52.476935-07:00,r2-day-025,fb:543998318793132,Round 2,Day 025,543998318793132_122180927498716289,ok,
2026-09-24T12:01:49.012350-07:00,bs-01-p2-es,ig:ramonhouses,Blog Series ES,Blog 01 Part 2,18093467909445180,ok,
2026-09-24T12:01:49.012350-07:00,bs-01-p2-es,fb:414239392030697,Blog Series ES,Blog 01 Part 2,414239392030697_122228680562048227,ok,
2026-09-24T12:01:49.012350-07:00,bs-01-p2-es,li:person,Blog Series ES,Blog 01 Part 2,urn:li:share:7508964016493477888,ok,
2026-09-24T12:01:49.012350-07:00,bs-01-p2-es,threads,Blog Series ES,Blog 01 Part 2,18380771149234700,ok,
2026-09-24T12:01:49.012350-07:00,re-es-day-06,ig:ramonhouses,RE Single ES,Day 06,17903051802570431,ok,
2026-09-24T12:01:49.012350-07:00,re-es-day-06,fb:414239392030697,RE Single ES,Day 06,414239392030697_122228680682048227,ok,
2026-09-24T12:01:49.012350-07:00,re-es-day-06,li:person,RE Single ES,Day 06,urn:li:share:7508964153718599680,ok,
2026-09-24T12:01:49.012350-07:00,re-es-day-06,threads,RE Single ES,Day 06,18116735242987939,ok,
2026-09-24T15:16:17.486671-07:00,bs-01-p2-en,ig:ramonhouses,Blog Series EN,Blog 01 Part 2,18221089786340151,ok,
2026-09-24T15:16:17.486671-07:00,bs-01-p2-en,fb:414239392030697,Blog Series EN,Blog 01 Part 2,414239392030697_122228696276048227,ok,
2026-09-24T15:16:17.486671-07:00,bs-01-p2-en,li:person,Blog Series EN,Blog 01 Part 2,urn:li:share:7509012939232772096,ok,
2026-09-24T15:16:17.486671-07:00,bs-01-p2-en,threads,Blog Series EN,Blog 01 Part 2,18351451543223192,ok,
2026-09-24T15:16:17.486671-07:00,r2b-day-025,ig:growthwealth,Round 2b,Day 025,18093200522444191,ok,
2026-09-24T15:16:17.486671-07:00,r2b-day-025,fb:543998318793132,Round 2b,Day 025,543998318793132_122180998658716289,ok,
2026-09-24T22:51:20.734130-07:00,sold-2026-09-24-kensington-404-en,ig:ramonhouses,Just Sold,404-20926 83 Ave R3130299,18015803492745170,ok,
2026-09-24T22:51:20.734130-07:00,sold-2026-09-24-kensington-404-en,fb:414239392030697,Just Sold,404-20926 83 Ave R3130299,414239392030697_122228726870048227,ok,
2026-09-24T22:51:20.734130-07:00,sold-2026-09-24-kensington-404-en,li:person,Just Sold,404-20926 83 Ave R3130299,urn:li:share:7509127471418511360,ok,
2026-09-24T22:51:20.734130-07:00,sold-2026-09-24-kensington-404-en,threads,Just Sold,404-20926 83 Ave R3130299,18097055903409143,ok,
